id,index,text,Annotation
1.12E+18,24,"Read below to know about the woman this mural is made after!  The first international nurse, a free smallpox vaccine, a travel of 3 years trough the Atlantic and 22 kids involved ;) https://t.co/hunWwx7hWh",
1.12E+18,25,"RT @AmerDentalAssn: Did you know that in 2018, the ADA adopted a policy that urges dentists to support the use and administration of the HP…",
1.12E+18,26,RT @IfedayoTiffy: This is an exciting opportunity to come work with my team on vaccine seroepidemiology research in Kenya and at @KEMRI_Wel…,
1.12E+18,27,RT @gilljacobs1: How to Immunize Yourself Against Vaccine Propaganda https://t.co/f5jIXyyOgz via @JeremyRHammond,
1.12E+18,28,"RT @business: Bill De Blasio's vaccination order is met with shrugs and defiance in Brooklyn, the center of the city's measles outbreak htt…",
1.12E+18,29,"RT @business: Bill De Blasio's vaccination order is met with shrugs and defiance in Brooklyn, the center of the city's measles outbreak htt…",
1.12E+18,30,RT @ForeignPolicy: A recent study found that thousands of Russian accounts used to spread disinformation had seized on anti-vaccine messagi…,
1.12E+18,31,"RT @SaneVaxx: Government authorities obviously believe that when it comes to medical procedures, one-size-fits-all. Are they right? Should…",
1.12E+18,32,https://t.co/zBWQcFIvOi CBS Busted By Mom For Using Image Of Her Vaccine-Injured Child To Falsely Claim Measles Caused Injuries https://t.co/3GlU8uyA89,
1.12E+18,33,"RT @business: Bill De Blasio's vaccination order is met with shrugs and defiance in Brooklyn, the center of the city's measles outbreak htt…",
1.12E+18,34,"A new CDC lab test called ‘HINT’ can more quickly &amp; accurately characterize circulating #flu A (H3N2) viruses, which could improve vaccine virus selection &amp; improve how well vaccine works against them.  Read more: https://t.co/F7pbQenRFU https://t.co/yQJ99Bp5tf",
1.12E+18,35,@DanielBayley80 @DoctorChristian have you ever heard of 'evidence based medicine'.  there is no actual evidence this vaccine will reduce cervical cancer even 30-40 years down the line.  Experience demonstrates it certainly increases such rates in the 10-15 year period. https://t.co/BxSO7LVanM,
1.12E+18,36,"RT @GaviSeth: Today is the anniversary of the death of Maurice Hilleman, the American biologist who developed over 40 vaccines. We have him…",
1.12E+18,37,"The HPV vaccine is most effective during adolescence, when the body produces more antibodies against the virus. That’s why @HHSvaccines recommends starting the vaccine at ages 11 or 12. https://t.co/HRMvnbkl2X #EndHPVCancers",
1.12E+18,38,@66Chrisn @Charley_ZanMato @R_Good_Fellow @glovoi_net @forrestmaready @CDCgov @HHSGov And in Europe 12 people were killed by a man made form of kratom. Seams to me man made things kill not natural. Plus you want a real vaccine get sick with said thing then build your immune system,
1.12E+18,39,"To vaccinate or not to vaccinate, that is the question. Check out this article from Kansas State University's Veterinary Diagnostic Lab for more information on vaccine titer testing: https://t.co/PHpZrEoTah https://t.co/PHpZrEoTah",
1.12E+18,40,RT @doctorsensation: Another researcher condemns the HPV VACCINE  after studying it.  Once you take a close look as opposed to buying the p…,
1.12E+18,41,#CMAJpodcast | Five things to know about vaccine allergy.  https://t.co/6v3DosHrZG @Health_Ontario_ #vaccines #publichealth #primarycare,
1.12E+18,42,RT @ForeignPolicy: A recent study found that thousands of Russian accounts used to spread disinformation had seized on anti-vaccine messagi…,
1.12E+18,43,RT @DoctorChristian: For all the bullshit about #Gardasil and the #HPV vaccine that’s clogging up the Internet here is the truth: the jab h…,
1.12E+18,44,"The @NIH has announced the initiation of a phase 1 clinical trial assessing the safety, tolerability, and efficacy of a “universal” #influenzavaccine candidate, H1ssF_3928, in healthy adult patients. https://t.co/dqgDz8XLle",
1.12E+18,45,"RT @business: Bill De Blasio's vaccination order is met with shrugs and defiance in Brooklyn, the center of the city's measles outbreak htt…",
1.12E+18,46,"RT @business: Bill De Blasio's vaccination order is met with shrugs and defiance in Brooklyn, the center of the city's measles outbreak htt…",
1.12E+18,47,"Bill De Blasio's vaccination order is met with shrugs and defiance in Brooklyn, the center of the city's measles outbreak https://t.co/5dcm3HpWnQ",
1.12E+18,48,"RT @voxdotcom: Anti-vaccine advocates have swayed parents in New York to refuse immunizations for their kids, sparking two of the largest m…",
1.12E+18,49,A bill to loosen the age limits on which vaccines can be administered by pharmacists passed the #Montana house for the second time on Wednesday. #mtpol #mtleg https://t.co/RcH4HBivHF,
1.12E+18,50,"RT @MichelleRempel: Get vaccinated, and vaccinate your children. Herd immunity saves lives. There is no reason for anyone to contract or sp…",
1.12E+18,51,"RT @bpolitics: De Blasio's vaccination order is met with shrugs and defiance in Brooklyn, the center of the city's measles outbreak https:/…",
1.12E+18,52,"RT @CR_UK: Injecting immune cell stimulants directly into a tumour could teach the immune system to spot and attack cancer cells, according…",
1.12E+18,53,"RT @HaElShaddaiBey: We have alot coming up for Yah @ https://t.co/ee2rP6nkhW  for example : Extended cleanses, new products like tupentine,…",
1.12E+18,54,RT @ForeignPolicy: A recent study found that thousands of Russian accounts used to spread disinformation had seized on anti-vaccine messagi…,
1.12E+18,55,RT @ForeignPolicy: A recent study found that thousands of Russian accounts used to spread disinformation had seized on anti-vaccine messagi…,
1.12E+18,56,"De Blasio's vaccination order is met with shrugs and defiance in Brooklyn, the center of the city's measles outbreak https://t.co/ylELDnIBqh",
1.12E+18,57,RT @BellHappe: @DoctorChristian https://t.co/qmgx77OC0w,
1.12E+18,58,"I was crying when the MMR vaccine was on the schedule for my first born. sat down my husband, read the risks &amp; we still decided to get it done. STUFF LIKE THAT VIDEO SCARES ME SO MUCH because it’s literally a russian roulette if your infant/toddler is allergic against it or not.",
1.12E+18,59,To Rival $AMZN UPS Enters Healthcare--with Doorstep Nurse Delivery . #innovation #UPS  #Amazon   https://t.co/KniicoHqxe https://t.co/AzjftsiAb2,
1.12E+18,60,"RT @GaviSeth: Today is the anniversary of the death of Maurice Hilleman, the American biologist who developed over 40 vaccines. We have him…",
1.12E+18,61,RT @ForeignPolicy: A recent study found that thousands of Russian accounts used to spread disinformation had seized on anti-vaccine messagi…,
1.12E+18,62,RT @ViraBurnayeva: #STUDY: Combining #Vaccines At One Visit Is NOT Safe  https://t.co/xnRYb21Tez  There is NO science behind CDC recommende…,
1.12E+18,63,"RT @PlumRemson: @dachte @Gothamist @GwynneFitz One can't discuss ""vaccines"" as a bundle. Each has its own risk/benefit profile per individu…",
1.12E+18,64,"#Measles isn’t only preventable disease burdening the healthcare system. According to 2015 @UNCPharmacy study, “vaccine-preventable diseases among adults cost U.S. economy $8.95B—and unvaccinated individuals are responsible for 80%, or $7.1B, of the tab.” https://t.co/ecucw8Lq1u",
1.12E+18,65,A New Cancer ‘Vaccine’ Uses the Immune System to Take Out Tumors  https://t.co/eyMkJWE5Nk,
1.12E+18,66,"RT @OR4MedFreedom: ""JEFFERSON CITY (Missouri) — A bill heard in the house on Monday would prohibit the discrimination of children with vacc…",
1.12E+18,67,"@snidegrrl @DrGolfShirt Well, if Doctors explained to medically naive patients that they may feel somewhat unwell 4 a day or 2, that it's your body building immunities from the vaccine, you might not be hearing that, Kim. #CommunicationIsKey",
1.12E+18,68,@VibeHi You heard about that shit they want to do in NYC with the measles vaccine? mannn. Medical tyranny,
1.12E+18,69,@jonathanstea @CaulfieldTim @cometeclipse So basically you just called a quarter of the parents in the province of Quebec idiots (based on current stats). Divisive language does not help. There are problems. The vaccine industry must help to fix these problems or continue to build a wall &amp; attack ppl. Its up to them.,
1.12E+18,70,@DanielBayley80 @DoctorChristian 1 might ask how you feel about orchestrated population destruction.  This vaccine brings with it a situation that makes it very hard for populations to reproduce at anywhere near the same rate. https://t.co/xXNG5PoAhq,
1.12E+18,71,"RT @Stephenteap: My wife was one of the 90 women to die from this in 2017, the vaccine wasn't around when she was young, it is now. Protect…",
1.12E+18,72,RT @ForeignPolicy: A recent study found that thousands of Russian accounts used to spread disinformation had seized on anti-vaccine messagi…,
1.12E+18,73,"Measles: no vaccine, come another time. The interest in measles vaccination is increasing and the state is urging the Czechs to be vaccinated. https://t.co/o7xsM6FgJ0 via @iDNEScz @GIRPBrussels",
1.12E+18,74,RT @ForeignPolicy: A recent study found that thousands of Russian accounts used to spread disinformation had seized on anti-vaccine messagi…,
1.12E+18,75,A new single-tier system for claims on vaccine labels should help streamline the approval process while making labels easier to understand https://t.co/AtpFHaAGDv,
1.12E+18,76,"RT @Stephenteap: My wife was one of the 90 women to die from this in 2017, the vaccine wasn't around when she was young, it is now. Protect…",
1.12E+18,77,RT @nurse_writer: @lifebiomedguru @Stutzy6 In one study 55% of children had upper respiratory infections following the vaccine and 40% had…,
1.12E+18,78,"RT @MichelleRempel: Get vaccinated, and vaccinate your children. Herd immunity saves lives. There is no reason for anyone to contract or sp…",
1.12E+18,79,@SecAzar @SenRickScott WAITING. Can't get the new shingles vaccine the doc ordered. I still pay outrageous prices for regular meds that have been on the market for decades.  These 2 keep dragging their feet.  @GOP  @SenateGOP  @HouseGOP  @FreedomCaucus  @TheDemocrats  @SenateDems  @HouseDemocrats,
1.12E+18,80,RT @HelenBranswell: You may already know @WHO is convening an emergency committee to debate whether the North Kivu #Ebola outbreak is a glo…,
1.12E+18,81,RT @ForeignPolicy: A recent study found that thousands of Russian accounts used to spread disinformation had seized on anti-vaccine messagi…,
1.12E+18,82,"3. Get Vaccinated : Vaccines are very good for our babies, ourselves, this generation and even the generations yet unborn to prevent some Cancers and reduce mortality rate from Vaccine preventable diseases in the world!  #GetVaxxToday against HPV.! https://t.co/qPevf6fEmC",
1.12E+18,83,RT @NYCHealthCommr: Thanks to Rabbi Dr. Aaron Glatt for taking a stand against anti-vaxxers and sharing the science-based evidence that the…,
1.12E+18,84,There is a “vaccine court” which has awarded over 4 BILLION to families with vaccine injured children since that time.....WE THE TAXPAYERS have paid that while the vaccine industry remains liability-free and continues making the vaccine cocktails. https://t.co/tQwnJuAPPF,
1.12E+18,85,"@FlexAddict Wait. What facts are you using? The fact that before vaccine for measles 2.6 million a year died? Before the vaccine for polio, thousands died and 10's of thousands were left with full/partial paralysis(just the US in 1952) so what facts do you have to offer up?",
1.12E+18,86,"RT @nickmira_: @ scientists, why have yall not found a pollen vaccine or anything to permanently prevent seasonal allergies https://t.co/HY…",
1.12E+18,87,BUT I just watched a video of a girl having severe seizures and she would not stop. it was the MMR vaccine. it said docs confirmed she died of the complications of the vaccine. THIS VIDEO BROKE MY HEART AND IM UGLY CRYING,
1.12E+18,88,RT @Vaccinologist: @DocEMurray 5 #measles patients in the ICU? Unnecessary suffering / expenses / grief from a disease that is completely v…,
1.12E+18,89,RT @ForeignPolicy: A recent study found that thousands of Russian accounts used to spread disinformation had seized on anti-vaccine messagi…,
1.12E+18,90,RT @DoctorChristian: For all the bullshit about #Gardasil and the #HPV vaccine that’s clogging up the Internet here is the truth: the jab h…,
1.12E+18,91,RT @davi326: New York's Vaccine Order Shows How Health Laws Are Failing Us | WIRED #health #VaccinesWork #VaccinesSaveLives #NewYork  https…,
1.12E+18,92,"@Talisa_Ross @DoctorChristian 8 million women, over 7 years had a 42% smaller propensity to get pregnant 1 or more times if they took this vaccine.  You use the word 'probably'.  there is no actual evidence this vaccine will do anybody any good at all. https://t.co/xXNG5PoAhq",
1.12E+18,93,"Isabel Zendal is considered the first nurse to go into an international duty and with her help, the vaccine was able to travel so far as China! Although she stayed in America, the expedition continued to help fight the smallpox.  Hope you learnt something interesting :)",
1.12E+18,94,"of the King Carlos IV, called the ""Royal Philanthropic Vaccine Expedition"". The only way to safely transport the vaccine overseas was to innoculate it into a person and make it into a ""living vaccine""; as you can imagine, orphans were a great option for this. There were lots",
1.12E+18,95,"RT @Stephenteap: My wife was one of the 90 women to die from this in 2017, the vaccine wasn't around when she was young, it is now. Protect…",
1.12E+18,96,We live in a world in which reading out loud the vaccine insert makes you a conspiracy theorist.  @MichelleRempel #InformedConsent https://t.co/5i4WuYzNU8,
1.12E+18,97,SHOCKING MMR vaccine trial results released via FOIA - https://t.co/d9P6BTMFss  #VaxWoke #vaxxgate #followthemoney #notsafeoreffective,
1.12E+18,98,Opting out of measles vaccine could be a death sentence for others https://t.co/pGOvg68xee,
1.12E+18,99,"https://t.co/EfFgJ9ahq8    The information on this video includes MMR vaccine safety trials used to get the vaccine licensed, straight from the source, acquired through FREEDOM OF INFORMATION ACT requests.  Trial documents start at 54:26.  Injury list is horrific, especially GI",
1.12E+18,100,"RT @ViraBurnayeva: ""Water that contains more than 0.2 mg (200 mcg) #Aluminum per LITER should not be used for drinking or to prepare infant…",
1.12E+18,101,"RT @Dr_ScottK: Communicate with parents concerned about vaccines, don't vilify them  #VaccinesWork  https://t.co/XP1PAtuEWc",
1.12E+18,102,i’m in no shape of form against vaccines and my first born got all of his. my infant had his first vaccine delayed because I didn’t want him to get it right there and then at the hospital when he was LITERALLY just born. I wanted it a few weeks later.,
1.12E+18,103,RT @DrJenGunter: So apparently you have no idea what is in each vaccine or how vaccines work.  Where exactly did you get your medical degre…,
1.12E+18,104,"""Rutgers University and BioViva USA, Inc. join forces to create a vaccine against aging""  American Association for the Advancement of Sciences AAAS press release via https://t.co/tX1iquhZcS  #disruptaging #genetherapy #genomiccounseling https://t.co/mUjYlP4CcJ",
1.12E+18,105,"#Epstein-Barr @NIH: deux candidats #vaccins💉 produisent des #anticorps qui empêchent la fusion du #virus👾 #EBV avec les cellules épithéliales et les #lymphocyteB chez la #souris🐁 et le #singe🐒. Prochaine étape, des essais chez l'humain🙎‍♂️🙎‍♀️ https://t.co/cJZpgXA9pD https://t.co/yTrpmqzqfo",
1.12E+18,106,@Skepticscalpel @GaviSeth @picardonhealth That is the photo of Hilleman's own daughter receiving the vaccine.,
1.12E+18,107,@Sheeple101 @t3tragrammat0n @autism_vaccine @CplBart @SharylAttkisson @DanaElizabeth69 @Wags4Wheels @susan_welch7 @RichidsCoulter @JackCDLee @proturnedexvax @Dreadpirate42 @4everleather1 @Flwrgirl66x @Charbrevolution @boglethemind @patrici61580698 @AydeleB @BeckyJohnson222 @MasterDuke1 @45HammerTime @sweetrtweetrD @DocMeehan @doctorsensation @avoiceforchoice @and_kell @2ndfor1st @LilEarthling369 @InsideVaccines @RonPaul4Constit @Stutzy6 @Movanhook @Jordan_Sather_ @SGTreport @GregNorberg @cindy_nurse @my3monkees @briantopping66 @plantlady293 @Sarah_Q_Smithy @Jayc1312 @TrustHim_7 @trumpAngel45 @debrataddeo @SusanDuclos @trumpshappygirl @_crazy_dog_lady @_realBlackTrump @The_Trump_Train @DarlaShine It’s ok!!! Mom came through in the clutch like a BOSS.,
1.12E+18,108,"That's that for @SenateApprops Labor/#HHS Subcommittee hearing on #NIH funding. Many on the panel say #Trump2020Budget a no-go/dead on arrival.  Lots of talk today about IP theft, #sexualharassment. Also some again on #measles vaccine. #flu #Ebola #cancer #vaccines #HIV #BRAINI",
1.12E+18,109,"@MikeStobbe Measles outbreak does not call for violation of Constitution. 0 people have died since Sept 2018 outbreak, the vaccine injures, listen 10 seconds to Dr. Offit instructing drs to mislead the press https://t.co/6lwFE4uiwq",
1.12E+18,110,"MHRP at @wrair scientist Dr. Morgane Rolland co-edited an issue of Current Opinion in HIV and AIDS devoted to #HIV phylogenetics, focusing on how viral diversity research can improve understanding of the epidemic and inform vaccine design: https://t.co/4IuMgK1GKY @HJFMilMed https://t.co/bDLQIrvtGy",
1.12E+18,111,"@Gwenau @vinarmani @Sick_of_Bias @ActivistPost @theintercept Your information is incomplete. Nat'l Vac Info Cntr - ""death rates for measles had dropped significantly in the U.S. BEFORE the measles vaccine was introduced in 1963.""  Check the footnotes here  https://t.co/m6fpDwSNL9",
1.12E+18,112,"RT @nltarlow: You want to force #vaccinations, then remove the zero liability that #vaccine manufacturers currently have. We'll see how fas…",
1.12E+18,113,Watch. The. Video. https://t.co/eKUtc40xaT,
1.12E+18,114,"RT @drnikkistamp: Our heart transplant patients are worried about #measles outbreaks, but because #MMR is a live attenuated vaccine, they c…",
1.12E+18,115,"@zannkwan But, 503 m doeses of the vaccine administered. That means 503m people could get sick and die.  Getting into a car is a far more dangerous activity.",
1.12E+18,116,"In 1963, virologists isolated measles virus from 13-yo David Edmonston's blood. John Enders' lab grew it in flasks and rendered it attenuated (weakened), capable of provoking immunity and not illness. The very definition of a vaccine. Literally millions of lives saved since.",
1.12E+18,117,"Only 2.6% of Oregon students are completely unvax  We exceed herd immunity level for each vaccine  Already have a process in place that requires unvax kids stay home in the event of an outbreak  We don't require teachers, staff, or volunteers be vaxxed  No on #hb3063 #orpol https://t.co/QPE9La8WNm",
1.12E+18,118,RT @Sonny5ideUp: Winner receives the vaccine https://t.co/8D1Ew04pVW,
1.12E+18,119,RT @Mileystan3: @NYCMayor Hopefully you will be run out of town on a rail by mothers of vaccine injured children https://t.co/Mf6eJekAXk,
1.12E+18,120,@CTVNews When did people start getting so stupid about vaccines? One guy writes a book and 1 former Playmate agrees with him then people jump on the anti vaccine wagon. Look at the history of what vaccines have done.,
1.12E+18,121,"Mom Catches CBS Using Image of Her Vaccine-Injured Child, Falsely Claiming Measles Caused It https://t.co/PaHc1e52Hk",
1.12E+18,122,"RT @nltarlow: You want to force #vaccinations, then remove the zero liability that #vaccine manufacturers currently have. We'll see how fas…",
1.12E+18,123,RT @earther_the: @DoctorChristian This vaccine has killed hundreds and maimed thousands of girls worldwide. It has caused cases of infertil…,
1.12E+18,124,@MariaLo18675082 @post_waffle @mcfunny @DemocratFed @blackbird726 @re4life @AndrewLazarus4 @mmelgar09 @jerseyshorelisa @kenjaques @ranchmemaw @thereal_truther @ChrisJohnsonMD @t3tragrammat0n @MeddlinMegs @VeritasEver @Boxmenot @LaughlandMorgan @emartinez78987 @BlueLionBlog @lizswiger1939 @EmmaGPaley @chickenlady100 @nybybirth @WendyOrent @deralteGaukler @boglethemind @DaviesHyland @KrochetxKorner @itsmepanda1 @weaponizedword1 @urbanx_f @brian_abramson @GreySouthwick @AlexMurdoch7 @yattypat @_CWN @TakeThatCDC @Thirtee19261537 @EugeneBu @djt10 @TioChango_ @ArcaneKnowledge @toppediatrician @MonkeysAreGone @AlanHamby1 @deNutrients @mimetic_ @HenningTveit @lawnatural Yes. And if you look at them you would see they’re generally not people you want to take medical advice from. https://t.co/cEh9AU84oC,
1.12E+18,125,"RT @Stephenteap: My wife was one of the 90 women to die from this in 2017, the vaccine wasn't around when she was young, it is now. Protect…",
1.12E+18,126,RT @Jordan_Sather_: Jews already filing into their attorney’s offices in New York to combat the mandatory vaccine order in Brooklyn declare…,
1.12E+18,127,@DrJeanineWolf @HHSGov Check out this @NCIprevention article for info on HPV vaccine effectiveness for the prevention of cervical cancer infections. It has links to a number of studies https://t.co/8vLs42uY5f,
1.12E+18,128,RT @StephRosenstein: @neiltyson SCIENTISTS: We’ve created this incredible vaccine to help rid humanity of life threatening diseases. RESPON…,
1.12E+18,129,"@jesus_bin @MD_STAT @StephRosenstein @neiltyson Natural measles has herd immunity at around 55%, whereas vaccine herd immunity is non existent at even 95% rates.  Vaccine theory is based on the false theory of germs. Both theories were promulgated by men who were frauds.",
1.12E+18,130,RT @ThisIsCANVax: Full Interview - https://t.co/1zYfvxFWE3  How can we counter #VaccineHesitancy? -Use a multi-pronged approach  -Include v…,
1.12E+18,131,"RT @MichelleRempel: Get vaccinated, and vaccinate your children. Herd immunity saves lives. There is no reason for anyone to contract or sp…",
1.12E+18,132,"RT @Stephenteap: My wife was one of the 90 women to die from this in 2017, the vaccine wasn't around when she was young, it is now. Protect…",
1.12E+18,133,"RT @MichelleRempel: Get vaccinated, and vaccinate your children. Herd immunity saves lives. There is no reason for anyone to contract or sp…",
1.12E+18,134,@BeckyJohnson222 @rugbyrhino16 @mmelgar09 @doritmi @Monstercoyliar @MAhealthforkids @seaglass34 @StopVaxxedLies @itsmepanda1 @TakeThatCDC @WendyOrent @Boxmenot @mloxton @t3tragrammat0n @mimetic_ @babyname_maven @Fiddlestix7 @VeritasEver @BlueLionBlog @EmmaGPaley @Stephaniethe2nd @Takethatdoctors @P2Jeff @JP1958S @SueQuez @laurast30381821 @TonyBaduy @TioChango_ @mcfunny @TanaSWilliams3 @GeoffSchuler @Joshua1_5 @AlexMurdoch7 @GrumFromNorwich @thereal_truther @lawnatural @toppediatrician @LifeDorr @Henjam48 @elle_franks @Plasticdoe @ChrisJohnsonMD @RebeccaLardner @DansMonkeyShack @DocMElliott @PileOfGoop @ghoppe @Paulthomasmd Why are you ignoring the fact that these studies weren't the ones used for  original vaccine approval?  These were studies assessed when there was a change in the R strain in the MMR.  Your confirmation bias is showing again.,
1.12E+18,135,Pfizer Vice President Blows Whistle On Gardasil:  https://t.co/W851hfJjVh via @yournewswire,
1.12E+18,136,"RT @DchieraM: Before the 1963 measles vaccine was introduced, nearly 500 people died of this potentially deadly disease each year; now NY i…",
1.12E+18,137,RT @sburke85: .@RepTimRyan Just saw you on CNN.  The issue with health care cost is chronic illness.  The insane vaccine schedule is drivin…,
1.12E+18,138,"@zannkwan Have you read the wikipedia page?!  Also, stats behind it.  No fault court, double the claim rate, generous settlements... Of course it would skew it. A diphtheria vaccine got 600 claims, paid about 500m  .. on average 1.2 awards were made per million applications of vaccines...",
1.12E+18,139,"Passeport? Lunettes de soleil? Appareil photo? Tout y est! Avant de partir, n'oubliez pas de protéger votre santé! Les voyages sont à la une sur Vaccins411, et le site offre les conseils et les ressources dont vous avez besoin avant de partir en voyage : https://t.co/E0jBRDFIWQ",
1.12E+18,140,Excuse me but wtf can MEN get the hpv vaccine for free but women with actual cervix have to pay 450 to get it????,
1.12E+18,141,"When it comes to protecting yourself and your family from diseases such as measles, mumps or rubella, it can sometimes be difficult to separate fact from fiction. Learn more about these diseases and their vaccines from the Centers for Disease Control here https://t.co/Z088ezZhrY https://t.co/VbQTMOSgSS",
1.12E+18,142,The convergence has officially happened.  All news is now @theonion. (I know: it has been for a while don't @ me but this is really...next level.) https://t.co/qups4jVgrD,
1.12E+18,143,RT @doctorsensation: You can’t make this shit up. Mmr trials only had 800 children total and over half still developed serious illness.  Sh…,
1.12E+18,144,RT @dpmlawfirm: Drug Company Dollars control Vaccine Injury News https://t.co/APaOUOGK7x,
1.12E+18,145,RT @dpmlawfirm: Shingles Vaccine? Really? https://t.co/fDxX16OxQv,
1.12E+18,146,Passport? Sunglasses? Camera? Check! Don’t forget about protecting your health before leaving. Travel is in the spotlight on Vaccines411 and has all the pre-travel tips and resources you need:  https://t.co/sCrBkE986Q #TravelThursday #TravelTips,
1.12E+18,147,RT @dpmlawfirm: Shingles Vaccine causes Shingles https://t.co/tiJR3mQ5d3,
1.12E+18,148,RT @dpmlawfirm: The Vaccine Lottery – Sacrifice the Children https://t.co/FGhSloOTCI,
1.12E+18,149,RT @dpmlawfirm: Vaccine Hysteria reigns https://t.co/8nW94pQbzI,
1.12E+18,150,"Recent Job Vacancies at Education as a Vaccine, 11th April, 2019 https://t.co/aZHljea14S #ngononprofitassociations",
