HITId,Description,AssignmentId,WorkerId,AcceptTime,SubmitTime,WorkTimeInSeconds,Input.id,Input.index,Input.text,Input.Annotation,Answer.sentiment.label,Approve,Reject,userid,FOR_GOLD_HITS_ACCURACY_CALCULATION,Total number of GOLD HITS,FREQUENCY OF GOLD_HITS,annotation for GOLD HITS is anti-vaccine,annotation for GOLD HITS is pro-vaccine,annotation for GOLD HITS is neither,Frequency of neither,THE PERCENTAGE OF GOLD HITS THAT ARE ANSWERED CORRECTLY,0.488448845,index\label,anti-vaccine,pro-vaccine,neither,P_i,tweet,Final_Annotation
3RWB1RTQDJBPGSMBWDVPWS961VVP88,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",33PPUNGG39TSZL078X4S3R2BQWRRZV,A2ITJNPW1LDUN7,Fri Apr 12 18:15:55 PDT 2019,Fri Apr 12 18:16:38 PDT 2019,43,1.12E+18,147,RT @dpmlawfirm: Shingles Vaccine causes Shingles https://t.co/tiJR3mQ5d3,,anti-vaccine,x,,,,,,,,,,,,11,1,1,1,0,RT @BeckyJohnson222: @kidoctr @rugbyrhino16 @mmelgar09 @doritmi @Monstercoyliar @MAhealthforkids @seaglass34 @StopVaxxedLies @itsmepanda1 @…,neither
3RWB1RTQDJBPGSMBWDVPWS961VVP88,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",3CFJTT4SXUEWMCRIZFI0YF8LT7X7IH,A3W0C04EXOY12C,Fri Apr 12 18:20:49 PDT 2019,Fri Apr 12 18:21:18 PDT 2019,29,1.12E+18,147,RT @dpmlawfirm: Shingles Vaccine causes Shingles https://t.co/tiJR3mQ5d3,,anti-vaccine,x,,,,,,,,,,,,12,0,3,0,1,Are you following a #Vaccine schedule? Here's what makes it so important and how to create one. #VaccineLaw https://t.co/RWX8Tq2CL4 https://t.co/wcuPNp4AI4,pro-vaccine
3RWB1RTQDJBPGSMBWDVPWS961VVP88,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",3DUZQ9U6SNCNRGVAMPFU8VUBON6VSP,A3UNJAPZMVOFM2,Fri Apr 12 18:23:04 PDT 2019,Fri Apr 12 18:23:10 PDT 2019,6,1.12E+18,147,RT @dpmlawfirm: Shingles Vaccine causes Shingles https://t.co/tiJR3mQ5d3,,anti-vaccine,x,,,,,,,,,,,,13,1,2,0,0.333333333,"@HLN_BE @Maggie_DeBlock, de orde van geneesheren en NVA'er Louis Ide trekken dus liever de kaart van repressie dan die van de wetenschap. Want Gaublomme is niet de enige die het nut van vaccinatie tegen mazelen in twijfel trekt. https://t.co/R69AvyOqDw",pro-vaccine
3R16PJFTS3FNM02T7I04JZ725ZTK4V,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",382M9COHEI3M4I1SG4LKNSOD9PPEUJ,A1GZZGA7ZFUPMB,Fri Apr 12 18:24:22 PDT 2019,Fri Apr 12 18:24:43 PDT 2019,21,1.12E+18,26,RT @IfedayoTiffy: This is an exciting opportunity to come work with my team on vaccine seroepidemiology research in Kenya and at @KEMRI_Wel…,,anti-vaccine,,x,A1GZZGA7ZFUPMB,,,,,,,,,,14,1,2,0,0.333333333,"RT @business: Bill De Blasio's vaccination order is met with shrugs and defiance in Brooklyn, the center of the city's measles outbreak htt…",pro-vaccine
3R16PJFTS3FNM02T7I04JZ725ZTK4V,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",3GGAI1SQEWMOUCC5BBO36U7GBR7MC4,A3UNJAPZMVOFM2,Fri Apr 12 18:19:41 PDT 2019,Fri Apr 12 18:19:57 PDT 2019,16,1.12E+18,26,RT @IfedayoTiffy: This is an exciting opportunity to come work with my team on vaccine seroepidemiology research in Kenya and at @KEMRI_Wel…,,neither,x,,,,,,,,,,,,15,3,0,0,1,@LFCElaine @DoctorChristian I hope your daughters are able to reproduce.  Many women are unable to after this vaccine.  It makes pregnancy much less easy on a large scale. https://t.co/xXNG5PoAhq,anti-vaccine
3R16PJFTS3FNM02T7I04JZ725ZTK4V,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",3V26SBZTBE211CMYIEY5PU4AZDCZZY,AGNJKSH5LFKXZ,Fri Apr 12 18:24:42 PDT 2019,Fri Apr 12 18:24:49 PDT 2019,7,1.12E+18,26,RT @IfedayoTiffy: This is an exciting opportunity to come work with my team on vaccine seroepidemiology research in Kenya and at @KEMRI_Wel…,,pro-vaccine,x,,,,,,,,,,,,16,0,3,0,1,"@jonathanstea @CaulfieldTim @cometeclipse I'll correct your sentence for you:  ""Smart parents do their homework and choose safe vaccinations that have strict 3rd party oversight &amp; testing with transparent results to eliminate vaccine injury and provide support to anyone who may be negatively impacted by their products."" https://t.co/SqZRXyc3Px",pro-vaccine
3W9XHF7WGKJ73LHJMJ1CR7JULYATK0,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",3AMW0RGHOEQD6J69SHP939VNF0VNPI,A3W0C04EXOY12C,Fri Apr 12 18:13:47 PDT 2019,Fri Apr 12 18:14:02 PDT 2019,15,1.12E+18,412,@drphilippakaye https://t.co/3Z2EJ7cdEm,,pro-vaccine,,x,A3W0C04EXOY12C,,,,,,,,,,17,1,2,0,0.333333333,RT @TheBeaverton: Pro-vaccine conspiracy theorists demand measles inoculation be added to CIA’s chemtrail program https://t.co/l31lcCbull h…,pro-vaccine
3W9XHF7WGKJ73LHJMJ1CR7JULYATK0,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",3U5NZHP4LSQLWNKYPJUWYPYRTOMHP3,ARIBVG7WV64QM,Fri Apr 12 18:12:59 PDT 2019,Fri Apr 12 18:13:22 PDT 2019,23,1.12E+18,412,@drphilippakaye https://t.co/3Z2EJ7cdEm,,pro-vaccine,,x,ARIBVG7WV64QM,,,,,,,,,,18,1,2,0,0.333333333,@pedvr and this effect is being seen elsewhere. it is so absolutely clear that the vaccine works and will save lives. i can't imagine what messed up headspace it requires not to want that.,pro-vaccine
3W9XHF7WGKJ73LHJMJ1CR7JULYATK0,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",3XLBSAQ9Z50IH2GSZJ6MYABBPKZZ76,A3AGJSGD009WMM,Fri Apr 12 18:23:49 PDT 2019,Fri Apr 12 18:24:16 PDT 2019,27,1.12E+18,412,@drphilippakaye https://t.co/3Z2EJ7cdEm,,neither,x,,,,,,,,,,,,19,1,2,0,0.333333333,"RT @CDCFlu: A new CDC lab test called ‘HINT’ can more quickly &amp; accurately characterize circulating #flu A (H3N2) viruses, which could impr…",pro-vaccine
3D3B8GE892FPUX5L1513WO4HL1DP9X,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",36TFCYNS45YQ5WMPBA4DS2KUVNYHXU,A3W0C04EXOY12C,Fri Apr 12 18:25:35 PDT 2019,Fri Apr 12 18:26:02 PDT 2019,27,1.12E+18,197,RT @doctorsensation: Another researcher condemns the HPV VACCINE  after studying it.  Once you take a close look as opposed to buying the p…,,anti-vaccine,x,,,,,,,,,,,,20,0,3,0,1,Measles warning letters: Chicago-area hospitals will tell anti-vaccine parents their kids are at risk – Chicago Tribune https://t.co/e8cnAEi6Sl https://t.co/CvzoSB2rp9,pro-vaccine
3D3B8GE892FPUX5L1513WO4HL1DP9X,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",386CSBG1O0AQZA1WTDIH13ZBP6VQ65,A3D4BKBC0RRBYQ,Fri Apr 12 18:25:50 PDT 2019,Fri Apr 12 18:26:05 PDT 2019,15,1.12E+18,197,RT @doctorsensation: Another researcher condemns the HPV VACCINE  after studying it.  Once you take a close look as opposed to buying the p…,,pro-vaccine,x,,A3D4BKBC0RRBYQ,,,,,,,,,,21,0,3,0,1,"RT @JustinLehmiller: Scotland began a national vaccination program against #HPV in 2008 targeting 12-13 year old girls. Since then, they've…",pro-vaccine
3D3B8GE892FPUX5L1513WO4HL1DP9X,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",3WZ36BJEV449X2AJ68TKHOWQNE3TB5,A1GZZGA7ZFUPMB,Fri Apr 12 18:19:28 PDT 2019,Fri Apr 12 18:20:05 PDT 2019,37,1.12E+18,197,RT @doctorsensation: Another researcher condemns the HPV VACCINE  after studying it.  Once you take a close look as opposed to buying the p…,,anti-vaccine,x,,,,,,,,,,,,22,2,1,0,0.333333333,RT @ForeignPolicy: A recent study found that thousands of Russian accounts used to spread disinformation had seized on anti-vaccine messagi…,anti-vaccine
3ZURAPD288BVEFDWJPQ55O8ULJ31FY,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",35BLDD71I7LKSSHOHH924OREB26VZU,A3UNJAPZMVOFM2,Fri Apr 12 18:23:19 PDT 2019,Fri Apr 12 18:23:26 PDT 2019,7,1.12E+18,391,RT @SNCCLA: Court ruling highlights the threat of vaccine misinformation https://t.co/M6ulsWYciD HPV causing increased cancer in recipients…,,pro-vaccine,x,,,,,,,,,,,,23,1,2,0,0.333333333,"RT @CDCFlu: A new CDC lab test called ‘HINT’ can more quickly &amp; accurately characterize circulating #flu A (H3N2) viruses, which could impr…",pro-vaccine
3ZURAPD288BVEFDWJPQ55O8ULJ31FY,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",3LEP4MGT3HO2GDEMKIT5CKE4KSEDB5,A3W0C04EXOY12C,Fri Apr 12 18:14:07 PDT 2019,Fri Apr 12 18:14:17 PDT 2019,10,1.12E+18,391,RT @SNCCLA: Court ruling highlights the threat of vaccine misinformation https://t.co/M6ulsWYciD HPV causing increased cancer in recipients…,,anti-vaccine,,x,A3W0C04EXOY12C,,,,,,,,,,24,0,3,0,1,"Read below to know about the woman this mural is made after!  The first international nurse, a free smallpox vaccine, a travel of 3 years trough the Atlantic and 22 kids involved ;) https://t.co/hunWwx7hWh",pro-vaccine
3ZURAPD288BVEFDWJPQ55O8ULJ31FY,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",3WJ1OXY92B4LG8D3XWITVHGXRJX8A0,A1GZZGA7ZFUPMB,Fri Apr 12 18:17:51 PDT 2019,Fri Apr 12 18:18:10 PDT 2019,19,1.12E+18,391,RT @SNCCLA: Court ruling highlights the threat of vaccine misinformation https://t.co/M6ulsWYciD HPV causing increased cancer in recipients…,,neither,x,,,,,,,,,,,,25,0,3,0,1,"RT @AmerDentalAssn: Did you know that in 2018, the ADA adopted a policy that urges dentists to support the use and administration of the HP…",pro-vaccine
3JTPR5MTZS05IJ6TLNJEORDG5VOK50,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",3N4BPTXIO9GPQIT2CQWNLN1ITMJKU7,ARIBVG7WV64QM,Fri Apr 12 18:18:17 PDT 2019,Fri Apr 12 18:18:47 PDT 2019,30,1.12E+18,78,"RT @MichelleRempel: Get vaccinated, and vaccinate your children. Herd immunity saves lives. There is no reason for anyone to contract or sp…",,pro-vaccine,x,,,,,,,,,,,,26,1,1,1,0,RT @IfedayoTiffy: This is an exciting opportunity to come work with my team on vaccine seroepidemiology research in Kenya and at @KEMRI_Wel…,neither
3JTPR5MTZS05IJ6TLNJEORDG5VOK50,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",3TUI152ZZCBVSO0ZN760678UHVC1QF,A3W0C04EXOY12C,Fri Apr 12 18:12:02 PDT 2019,Fri Apr 12 18:12:11 PDT 2019,9,1.12E+18,78,"RT @MichelleRempel: Get vaccinated, and vaccinate your children. Herd immunity saves lives. There is no reason for anyone to contract or sp…",,anti-vaccine,,x,A3W0C04EXOY12C,,,,,,,,,,27,0,3,0,1,RT @gilljacobs1: How to Immunize Yourself Against Vaccine Propaganda https://t.co/f5jIXyyOgz via @JeremyRHammond,pro-vaccine
3JTPR5MTZS05IJ6TLNJEORDG5VOK50,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",3VFJCI1K40NS8452I5G3IKM5F6WRG5,A1Q7KDP8IYSSUT,Fri Apr 12 18:11:39 PDT 2019,Fri Apr 12 18:11:54 PDT 2019,15,1.12E+18,78,"RT @MichelleRempel: Get vaccinated, and vaccinate your children. Herd immunity saves lives. There is no reason for anyone to contract or sp…",,pro-vaccine,x,,,,,,,,,,,,28,1,2,0,0.333333333,"RT @business: Bill De Blasio's vaccination order is met with shrugs and defiance in Brooklyn, the center of the city's measles outbreak htt…",pro-vaccine
375VSR8FVWXPC13DIVZRE76P1MQRZ7,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",33JKGHPFYDI7LG9W01XHM51SAVLNMN,AI3RROIIG6ZXW,Fri Apr 12 18:17:48 PDT 2019,Fri Apr 12 18:17:55 PDT 2019,7,1.12E+18,290,@npsgirl @NYCMayor https://t.co/Zlc0m4bBux,,neither,x,,,,,,,,,,,,29,0,2,1,0.333333333,"RT @business: Bill De Blasio's vaccination order is met with shrugs and defiance in Brooklyn, the center of the city's measles outbreak htt…",pro-vaccine
375VSR8FVWXPC13DIVZRE76P1MQRZ7,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",3I02618YA1UQ19QIPI1VH4NHNWOPUC,A1NB72ONBBX1UQ,Fri Apr 12 18:13:29 PDT 2019,Fri Apr 12 18:14:05 PDT 2019,36,1.12E+18,290,@npsgirl @NYCMayor https://t.co/Zlc0m4bBux,,neither,x,,,,,,,,,,,,30,1,1,1,0,RT @ForeignPolicy: A recent study found that thousands of Russian accounts used to spread disinformation had seized on anti-vaccine messagi…,neither
375VSR8FVWXPC13DIVZRE76P1MQRZ7,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",3W92K5RLWV5MLEXZAT2MFKKJA3X5VW,A2KDT0S0L81JGF,Fri Apr 12 18:18:04 PDT 2019,Fri Apr 12 18:18:09 PDT 2019,5,1.12E+18,290,@npsgirl @NYCMayor https://t.co/Zlc0m4bBux,,neither,x,,,,,,,,,,,,31,0,2,1,0.333333333,"RT @SaneVaxx: Government authorities obviously believe that when it comes to medical procedures, one-size-fits-all. Are they right? Should…",pro-vaccine
3CKVGCS3PGT4BVX0TQM4YI8Z5HQS04,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",3ERMJ6L4DZGIIVH9KUGSQ8F2AGIM7D,A3W0C04EXOY12C,Fri Apr 12 18:26:58 PDT 2019,Fri Apr 12 18:27:07 PDT 2019,9,1.12E+18,372,Vaccine Clears HPV-Infected Cervical Lesions https://t.co/DbIy5aqgie,,anti-vaccine,,x,A3W0C04EXOY12C,,,,,,,,,,32,1,1,1,0,https://t.co/zBWQcFIvOi CBS Busted By Mom For Using Image Of Her Vaccine-Injured Child To Falsely Claim Measles Caused Injuries https://t.co/3GlU8uyA89,neither
3CKVGCS3PGT4BVX0TQM4YI8Z5HQS04,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",3WYGZ5XF3X39B51YNL1N6MJU8PYSKZ,A38IGWR6VEHCNE,Fri Apr 12 18:18:45 PDT 2019,Fri Apr 12 18:19:02 PDT 2019,17,1.12E+18,372,Vaccine Clears HPV-Infected Cervical Lesions https://t.co/DbIy5aqgie,,pro-vaccine,x,,,,,,,,,,,,33,1,2,0,0.333333333,"RT @business: Bill De Blasio's vaccination order is met with shrugs and defiance in Brooklyn, the center of the city's measles outbreak htt…",pro-vaccine
